university_name,country,state,program,rank_tier,tuition_usd,living_cost_usd,cost_of_attendance_usd,min_cgpa,min_ielts,min_gre,accepts_without_gre,research_level,ms_cs,research_category,intake,deadline,data_note
Massachusetts Institute of Technology,USA,Massachusetts,Computer Science,1,52000,24000,76000,3.8,7.5,323,Varies,5,Yes,Computing and Information Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Stanford University,USA,California,Biology,1,54500,24000,78500,3.8,7.5,323,Varies,5,Yes,Life Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Carnegie Mellon University,USA,Pennsylvania,Computer Science,1,57000,20000,77000,3.8,7.5,323,Varies,5,Yes,Business and Management,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of California, Berkeley",USA,California,Economics,1,59500,24000,83500,3.8,7.5,323,Varies,5,Yes,Economics and Policy,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Illinois Urbana-Champaign,USA,Illinois,Arts,1,62000,20000,82000,3.8,7.5,323,Varies,5,Yes,Arts and Humanities,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Georgia Institute of Technology,USA,Georgia,Engineering,1,52000,17000,69000,3.8,7.5,323,Varies,5,Yes,Engineering and Technology,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Washington,USA,Washington,Physics,1,54500,24000,78500,3.8,7.5,323,Varies,5,Yes,Physical Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Michigan-Ann Arbor,USA,Michigan,Chemistry,1,57000,17000,74000,3.8,7.5,323,Varies,5,Yes,Chemical Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Cornell University,USA,New York,Mathematics,1,59500,24000,83500,3.8,7.5,323,Varies,5,Yes,Mathematical Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Princeton University,USA,New Jersey,Environmental Science,1,62000,24000,86000,3.8,7.5,323,Varies,5,Yes,Environmental and Earth Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Texas at Austin,USA,Texas,Psychology,1,52000,17000,69000,3.8,7.5,323,Varies,5,Yes,Behavioral Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of California, San Diego",USA,California,Political Science,1,54500,24000,78500,3.8,7.5,323,Varies,5,Yes,Social Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of California, Los Angeles",USA,California,Sociology,1,57000,24000,81000,3.8,7.5,323,Varies,5,Yes,Social Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Columbia University,USA,New York,Education,1,59500,24000,83500,3.8,7.5,323,Varies,5,Yes,Education Research,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Harvard University,USA,Massachusetts,Public Health,1,62000,24000,86000,3.8,7.5,323,Varies,5,Yes,Health Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
California Institute of Technology,USA,California,Computer Science,1,52000,24000,76000,3.8,7.5,323,Varies,5,Yes,Computing and Information Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Wisconsin-Madison,USA,Wisconsin,Biology,1,54500,17000,71500,3.8,7.5,323,Varies,5,Yes,Life Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of Maryland, College Park",USA,Maryland,Business,1,57000,20000,77000,3.8,7.5,323,Varies,5,Yes,Business and Management,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Pennsylvania,USA,Pennsylvania,Economics,1,59500,20000,79500,3.8,7.5,323,Varies,5,Yes,Economics and Policy,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Purdue University,USA,Indiana,Arts,1,62000,17000,79000,3.8,7.5,323,Varies,5,Yes,Arts and Humanities,"Fall, Spring, Summer",January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Massachusetts Amherst,USA,Massachusetts,Engineering,2,50800,24000,74800,3.6,7.0,318,Often,5,Yes,Engineering and Technology,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Southern California,USA,California,Physics,2,40000,24000,64000,3.6,7.0,318,Often,5,Yes,Physical Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
New York University,USA,New York,Chemistry,2,41800,24000,65800,3.6,7.0,318,Often,5,Yes,Chemical Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Rice University,USA,Texas,Mathematics,2,43600,17000,60600,3.6,7.0,318,Often,5,Yes,Mathematical Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Duke University,USA,North Carolina,Environmental Science,2,45400,17000,62400,3.6,7.0,318,Often,5,Yes,Environmental and Earth Sciences,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Northwestern University,USA,Illinois,Psychology,2,47200,20000,67200,3.6,7.0,318,Often,5,Yes,Behavioral Sciences,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Brown University,USA,Rhode Island,Political Science,2,49000,17000,66000,3.6,7.0,318,Often,5,Yes,Social Sciences,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Johns Hopkins University,USA,Maryland,Sociology,2,50800,20000,70800,3.6,7.0,318,Often,5,Yes,Social Sciences,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Virginia Tech,USA,Virginia,Education,2,40000,20000,60000,3.6,7.0,318,Often,5,Yes,Education Research,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Pennsylvania State University,USA,Pennsylvania,Public Health,2,41800,20000,61800,3.6,7.0,318,Often,5,Yes,Health Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Ohio State University,USA,Ohio,Computer Science,2,43600,17000,60600,3.6,7.0,318,Often,5,Yes,Computing and Information Sciences,Fall,Fall: February 1; Spring: October 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of California, Irvine",USA,California,Biology,2,45400,24000,69400,3.6,7.0,318,Often,5,Yes,Life Sciences,Fall,Rolling,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of California, Davis",USA,California,Business,2,47200,24000,71200,3.6,7.0,318,Often,5,Yes,Business and Management,"Fall, Spring",December 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
"University of California, Santa Barbara",USA,California,Economics,2,49000,24000,73000,3.6,7.0,318,Often,5,Yes,Economics and Policy,Fall,December 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Texas A&M University,USA,Texas,Arts,2,50800,17000,67800,3.6,7.0,318,Often,5,Yes,Arts and Humanities,Fall,January 5,"Estimated planning values, intake, and deadline; verify the official graduate program page."
North Carolina State University,USA,North Carolina,Engineering,2,40000,17000,57000,3.6,7.0,318,Often,5,Yes,Engineering and Technology,Fall,January 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
University of Minnesota Twin Cities,USA,Minnesota,Physics,2,41800,17000,58800,3.6,7.0,318,Often,5,Yes,Physical Sciences,Fall,February 1,"Estimated planning values, intake, and deadline; verify the official graduate program page."
Rutgers University-New Brunswick,USA,New Jersey,Chemistry,2,43600,24000,67600,3.6,7.0,318,Often,5,Yes,Chemical Sciences,Fall,Fall: January 15; Spring: September 15,"Estimated planning values, intake, and deadline; verify the official graduate program page."
